variant,configuration,frames,converged_frames,safety_capped_frames,wall_seconds,kernel_gpu_ms,kernel_gpu_ms_per_frame,kernel_calls,nonlinear_solves,solver_failures,preconditioner_fallbacks,zero_iteration_solves,cg_iterations_total,cg_iterations_mean,fused_compute_gpu_ms,sparse_indices_gpu_ms,hessian_assembly_gpu_ms,linear_solver_gpu_ms,ccd_gpu_ms,array_runtime_gpu_ms
one_bunny_partial_abd,1 bunny,200,160,40,3597.55,366166.5266661439,1830.8326333307195,3372368,2465,0,0,0,352107,142.84259634888437,1502.3063929984346,5755.712998448871,153825.9272123687,110658.27590611298,91790.19877221435,2634.105384000577
one_bunny_partial_abd_separate_jacobian,1 bunny,200,138,62,7483.93,614314.0378654934,3071.5701893274672,4680561,3017,24,0,0,553314,184.86936184430337,1975.6954140029848,7714.19055131264,215550.03667145502,192750.99011824932,193231.50969680864,3091.61541366484
dropping_in_container,5 soft bunnies,200,78,122,1986.4,708796.4849007549,3543.9824245037744,7371715,3910,0,0,0,342030,87.47570332480818,1744.8142252396792,62226.422713370994,148659.22675211914,131735.02871976234,359383.78095964435,5047.21153061837
dropping_in_container_mixed,4 soft + 1 affine bunny,200,12,188,2783.84,1070962.2596275294,5354.811298137647,9297501,4954,0,0,0,241686,48.78603148970529,3338.463868247345,80626.06045242865,246955.26663097553,89312.88026436232,644018.9585743938,6710.6298371218145
dropping_in_container_mixed_separation,4 soft + 1 affine bunny,200,110,90,1532.0,589065.4512309702,2945.327256154851,4804658,3357,0,0,0,247410,73.69973190348526,1566.0654496168718,19377.010844182223,165932.49762337655,89976.23633441981,308630.9005677467,3582.7404116280377
dropping_in_container_no_save,5 soft bunnies,200,3,197,2730.08,1049780.4183182307,5248.902091591153,9309043,4993,0,0,0,273595,54.79571399959944,2513.9730973169208,109668.42776420526,182242.37663659733,108210.90540336445,640685.4681103723,6459.267306374386
