variant,configuration,frames,wall_seconds,kernel_gpu_ms,kernel_gpu_ms_per_frame,kernel_calls,nonlinear_solves,cg_iterations_total,cg_iterations_mean,fused_compute_gpu_ms,sparse_indices_gpu_ms,hessian_assembly_gpu_ms,linear_solver_gpu_ms,ccd_gpu_ms,array_runtime_gpu_ms
one_bunny_partial_abd,1 bunny,24,128.93,12083.932654932141,503.4971939555059,284989,92,14702,159.80434782608697,22.72512251511216,143.89108412433416,5504.644916974939,2469.8536215582862,3887.5780741218477,55.23983563762158
one_bunny_partial_abd_separate_jacobian,1 bunny,24,200.65,12274.907519808039,511.4544799920016,282919,91,14444,158.72527472527472,22.819081670604646,318.43345798552036,5966.922957333736,2682.8126590698957,3224.7403248911723,59.179038857109845
dropping_in_container,1 soft bunny,24,50.42,4199.8053445713595,174.99188935713997,72874,55,3958,71.96363636363637,10.577125241979957,199.78254241868854,491.07070825994015,881.8397556897253,2564.881961676292,51.653251284733415
dropping_in_container_mixed,1 soft + 1 affine bunny,24,17.11,1276.9325429107994,53.20552262128331,15214,25,43,1.72,6.870332290418446,375.00692065805197,640.4419572791085,23.79967039451003,177.91699967347085,52.89666261523962
dropping_in_container_mixed_separation,1 soft + 1 affine bunny,24,64.8,6943.204092560336,289.30017052334733,108210,71,4090,57.605633802816904,19.662747741676867,266.72333222813904,1957.2527930140495,742.4564070533961,3887.96514517162,69.1436673514545
dropping_in_container_no_save,1 soft bunny,24,7.49,692.0596689451486,28.83581953938119,13767,25,80,3.2,3.0760002555325627,291.00725112948567,227.85366780590266,14.891376602463424,117.62970965355635,37.60166349820793
